Record_ID,Employee_ID,Division,AI_Training_Track,Baseline_Skill_Score,Post_Training_Skill_Score,AI_Tool_Class,Use_Case_Name,Academic_Partner,Collaboration_Program,Implementation_Stage,Efficiency_Gain_Pct,Estimated_Value_AED,Adoption_Rate_Pct
REC-0001,EMP-25795,Water & Civil,AI for Leaders,22.4,50.1,Computer Vision,Reservoir Volumetric AI,RIT Dubai,Sponsored Capstone,Development,8.6,42500.0,22.9
REC-0002,EMP-10860,Water & Civil,AI Literacy,57.8,93.8,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,UAT & Testing,23.1,93400.0,70.4
REC-0003,EMP-86820,Business Development & Execution,AI for Leaders,20.8,71.0,Generative AI (LLMs),AI Procurement Sandbox,RIT Dubai,Reverse Hackathon,Development,5.0,104300.0,21.5
REC-0004,EMP-64886,Distribution Power,Deep Technical & LLMOps,19.4,90.9,Predictive Machine Learning,Grid Recloser Optimizer,RIT Dubai,Reverse Hackathon,Fully Deployed,37.2,544800.0,76.8
REC-0005,EMP-16265,I&TF,AI Literacy,17.9,83.1,Generative AI (LLMs),AI Developer Copilot,None,None,Optimizing,32.9,119500.0,93.7
REC-0006,EMP-92386,Finance,AI Literacy,10.0,85.1,Agentic AI Workflows,Invoice Matcher Agent,MBZUAI,Reverse Hackathon,UAT & Testing,22.5,28500.0,73.9
REC-0007,EMP-47194,Business Development & Execution,AI Literacy,48.4,74.0,Generative AI (LLMs),AI Bid Evaluator,None,None,UAT & Testing,20.0,107500.0,17.2
REC-0008,EMP-97498,Finance,AI Literacy,22.4,98.3,Agentic AI Workflows,Invoice Matcher Agent,None,None,Development,8.3,35500.0,48.8
REC-0009,EMP-54131,Business Development & Execution,AI Literacy,20.1,98.6,Generative AI (LLMs),AI Procurement Sandbox,RIT Dubai,Reverse Hackathon,Fully Deployed,34.4,102700.0,91.4
REC-0010,EMP-70263,I&TF,AI Literacy,10.0,74.8,Agentic AI Workflows,Cognitive Cyber Defense,None,None,Fully Deployed,37.1,32600.0,96.0
REC-0011,EMP-26023,Finance,Deep Technical & LLMOps,29.3,90.2,Agentic AI Workflows,Invoice Matcher Agent,None,None,Fully Deployed,29.1,128200.0,84.9
REC-0012,EMP-51090,I&TF,AI for Leaders,11.7,58.2,Generative AI (LLMs),Agentic IT Helpdesk,None,None,Ideation,6.3,13800.0,0.0
REC-0013,EMP-77221,Billing,AI Literacy,11.4,81.7,Predictive Machine Learning,Revenue Risk Profiler,Heriot-Watt University,Reverse Hackathon,Fully Deployed,33.8,262200.0,93.2
REC-0014,EMP-74820,Transmission Power,Deep Technical & LLMOps,16.1,77.9,Computer Vision,Overhead Line Monitoring,Heriot-Watt University,Sponsored Capstone,Development,13.4,26400.0,5.4
REC-0015,EMP-10769,I&TF,AI Literacy,35.6,65.1,Generative AI (LLMs),AI Developer Copilot,None,None,Fully Deployed,26.8,61200.0,90.0
REC-0016,EMP-69735,Billing,Deep Technical & LLMOps,28.7,80.7,Predictive Machine Learning,Revenue Risk Profiler,None,None,Fully Deployed,39.7,78600.0,85.8
REC-0017,EMP-72955,Legal Affairs,AI Literacy,10.0,79.7,Generative AI (LLMs),Contract Compliance Parser,RIT Dubai,Joint R&D Lab,Fully Deployed,33.8,250000.0,69.9
REC-0018,EMP-74925,Finance,Deep Technical & LLMOps,48.8,80.5,Agentic AI Workflows,Automated Audit Reconciliation,MBZUAI,Joint R&D Lab,Development,14.5,119700.0,20.0
REC-0019,EMP-77969,I&TF,Deep Technical & LLMOps,24.8,80.6,Generative AI (LLMs),AI Developer Copilot,MBZUAI,Joint R&D Lab,Fully Deployed,29.7,290400.0,93.6
REC-0020,EMP-15311,Legal Affairs,Deep Technical & LLMOps,26.1,95.9,Generative AI (LLMs),Contract Compliance Parser,MBZUAI,Joint R&D Lab,Ideation,7.0,16600.0,0.0
REC-0021,EMP-93104,Distribution Power,Deep Technical & LLMOps,10.0,91.8,Agentic AI Workflows,LV Power Restoration,None,None,Fully Deployed,29.5,115400.0,94.8
REC-0022,EMP-63707,Power & Water Planning,AI Literacy,41.8,80.1,Predictive Machine Learning,Grid Expansion Planner,MBZUAI,Joint R&D Lab,Ideation,3.2,10900.0,0.0
REC-0023,EMP-95305,Legal Affairs,Deep Technical & LLMOps,20.5,78.0,Generative AI (LLMs),Regulatory Risk Analyzer,Heriot-Watt University,Reverse Hackathon,Development,17.3,49000.0,9.3
REC-0024,EMP-38693,Distribution Power,AI Literacy,12.2,84.9,Agentic AI Workflows,LV Power Restoration,None,None,Ideation,0.3,8100.0,0.0
REC-0025,EMP-81932,Finance,AI Literacy,10.0,90.6,Agentic AI Workflows,Invoice Matcher Agent,RIT Dubai,Sponsored Capstone,Fully Deployed,49.9,241300.0,77.6
REC-0026,EMP-35658,Water & Civil,AI Literacy,18.6,87.7,Autonomous IoT & Sensors,Autonomous Leak Detection,None,None,UAT & Testing,22.8,21000.0,27.4
REC-0027,EMP-94478,Business Development & Execution,AI for Leaders,44.9,91.7,Generative AI (LLMs),AI Procurement Sandbox,None,None,Fully Deployed,30.1,36600.0,79.5
REC-0028,EMP-28431,Distribution Power,AI Literacy,11.6,67.7,Agentic AI Workflows,LV Power Restoration,RIT Dubai,Reverse Hackathon,Fully Deployed,34.0,31500.0,73.3
REC-0029,EMP-12747,I&TF,AI for Leaders,10.0,92.1,Generative AI (LLMs),Agentic IT Helpdesk,None,None,Fully Deployed,36.2,62400.0,80.2
REC-0030,EMP-69150,Legal Affairs,AI for Leaders,13.9,73.8,Generative AI (LLMs),Contract Compliance Parser,None,None,Ideation,4.3,29000.0,0.0
REC-0031,EMP-75725,Business Development & Execution,Deep Technical & LLMOps,11.9,70.3,Generative AI (LLMs),AI Procurement Sandbox,Heriot-Watt University,Sponsored Capstone,Fully Deployed,44.2,45800.0,68.3
REC-0032,EMP-94654,Water & Civil,Deep Technical & LLMOps,23.6,97.0,Computer Vision,Reservoir Volumetric AI,RIT Dubai,Sponsored Capstone,UAT & Testing,25.9,31400.0,72.4
REC-0033,EMP-45773,Billing,AI for Leaders,10.0,93.1,Generative AI (LLMs),Generative Bill Explanation,None,None,Ideation,10.5,5100.0,0.0
REC-0034,EMP-77435,Billing,AI for Leaders,10.8,71.2,Predictive Machine Learning,Revenue Risk Profiler,None,None,Development,8.3,95800.0,4.6
REC-0035,EMP-66886,Transmission Power,AI Literacy,10.0,81.0,Computer Vision,Thermal Substations Inspection,None,None,Development,12.6,124500.0,15.2
REC-0036,EMP-76803,Power & Water Planning,AI Literacy,31.3,62.7,Predictive Machine Learning,Smart Load Forecasting,MBZUAI,Sponsored Capstone,Ideation,2.2,22200.0,0.0
REC-0037,EMP-41551,Distribution Power,AI Literacy,12.7,93.8,Agentic AI Workflows,SCADA Fault Routing,None,None,Development,8.7,93500.0,0.3
REC-0038,EMP-21394,Transmission Power,AI for Leaders,11.3,54.4,Computer Vision,Thermal Substations Inspection,Heriot-Watt University,Sponsored Capstone,Ideation,4.3,37000.0,0.0
REC-0039,EMP-79092,Business Development & Execution,AI Literacy,42.2,87.7,Generative AI (LLMs),AI Procurement Sandbox,None,None,UAT & Testing,18.8,18800.0,74.3
